exit_date,ticker,position_id,shares,avg_cost,exit_price,gross_proceeds,exit_cost,realised_pnl,return_pct,closed_fully
2021-02-02,LAURUSLABS.NS,8,523,353.25396307373046,340.3780517578125,178017.72106933594,178.01772106933595,-6912.119339294441,-0.037412996736620664,False
2021-02-02,DRREDDY.NS,5,490,1016.3983786010742,863.2850952148438,423009.69665527344,423.00969665527344,-75448.51855590817,-0.15149233973923867,False
2021-02-02,NAVINFLUOR.NS,3,207,2601.577494140625,2469.14501953125,511113.01904296875,511.11301904296874,-27924.63526318362,-0.05185377715356821,False
2021-02-02,HINDUNILVR.NS,1,160,2211.162811279297,2030.480712890625,324876.9140625,324.8769140625,-29234.01265624998,-0.08263189764658335,False
2021-02-02,DIXON.NS,4,138,2751.358473144531,3132.493408203125,432284.09033203125,432.28409033203127,52164.33694775391,0.13738756521187556,False
2021-02-02,TATACOMM.NS,6,87,1023.8717869262696,906.986572265625,78907.83178710938,78.90783178710937,-10247.921507263178,-0.1150458511866315,False
2021-02-02,OFSS.NS,2,3,2549.2698676757814,2478.90966796875,7436.72900390625,7.43672900390625,-218.51732812500086,-0.02857253768954995,False
2021-03-02,CGPOWER.NS,9,6954,41.17635424820117,56.80098342895508,394994.0387649536,394.99403876495364,108258.6772841977,0.3780768958680951,False
2021-03-02,DRREDDY.NS,5,405,1016.3983786010742,848.3015747070312,343562.13775634766,343.5621377563477,-68422.76771484374,-0.16621937719074142,True
2021-03-02,NAVINFLUOR.NS,3,212,2601.577494140625,2759.695556640625,585055.4580078125,585.0554580078125,32935.973791992175,0.05971698605683034,True
2021-03-02,OFSS.NS,2,199,2549.2698676757814,2416.234375,480830.640625,480.830640625,-26954.893683105474,-0.053133537868344724,False
2021-03-02,HINDUNILVR.NS,1,86,2211.162811279297,1982.6876220703125,170511.13549804688,170.51113549804688,-19819.37740747069,-0.10422474349490354,True
2021-03-02,INFY.NS,0,81,1099.4938151212993,1124.0540771484375,91048.38024902344,91.04838024902344,1898.3328439491743,0.02131545228147032,False
2021-03-02,TATACOMM.NS,6,69,1023.8717869262696,1111.4547119140625,76690.37512207031,76.69037512207031,5966.5314490356395,0.08445536968595635,False
