exit_date,ticker,position_id,shares,avg_cost,exit_price,gross_proceeds,exit_cost,realised_pnl,return_pct,closed_fully
2026-02-03,RBLBANK.NS,9,2301,320.2416441345215,303.9630432128906,699418.9624328613,699.4189624328613,-38156.479683105485,-0.05178141028366081,False
2026-02-03,INDIANB.NS,6,1093,844.2760498046875,851.9511108398438,931182.5641479492,931.1825641479493,7457.659147277707,0.008081610186496148,False
2026-02-03,EICHERMOT.NS,3,100,7265.748724609375,7140.228515625,714022.8515625,714.0228515625,-13266.043749999953,-0.018258329943433557,True
2026-02-03,SBILIFE.NS,4,93,2066.5945593261717,1999.3206787109373,185936.82312011716,185.93682312011717,-6442.407720336923,-0.033520460499292346,False
2026-02-03,MARUTI.NS,1,54,16808.15464453125,14635.01953125,790291.0546875,790.2910546875,-118139.58717187494,-0.13016123298962615,True
2026-03-04,INDIANB.NS,6,200,844.2760498046875,919.4140014648438,183882.80029296875,183.88280029296877,14843.70753173827,0.08790790367186285,True
2026-03-04,LTF.NS,8,176,311.2955741177101,268.2877502441406,47218.64404296875,47.21864404296875,-7616.595645791196,-0.13901936044696103,False
2026-03-04,CUMMINSIND.NS,11,166,4116.942908203125,4547.0849609375,754816.103515625,754.8161035156251,70648.7646503906,0.1033764560896454,True
2026-03-04,SBILIFE.NS,4,80,2066.5945593261717,1927.919921875,154233.59375,154.23359375,-11248.20458984372,-0.06803586931869743,False
2026-03-04,POWERINDIA.NS,10,52,19715.993171875,24494.15234375,1273695.921875,1273.695921875,247190.5810156248,0.24110705345102176,True
2026-03-04,LAURUSLABS.NS,5,23,1010.5679318402317,1029.574951171875,23680.223876953125,23.680223876953125,413.48122075084393,0.017789446720058465,False
2026-03-04,FORCEMOT.NS,2,3,21251.23,21450.0,64350.0,64.35,531.9599999999991,0.008343987618599004,False
2026-04-02,LAURUSLABS.NS,5,1045,1010.5679318402317,1041.86279296875,1088746.6186523438,1088.7466186523438,31614.383260649396,0.02993663006944949,False
2026-04-02,RBLBANK.NS,9,677,319.78663072255574,300.22271728515625,203250.77960205078,203.25077960205078,-13448.020176721504,-0.06211684368981205,False
2026-04-02,LTF.NS,8,369,311.2955741177101,237.900634765625,87785.33422851562,87.78533422851562,-27170.51795514791,-0.23653673906397377,False
2026-04-02,GVT&D.NS,12,96,3677.181075927734,3812.7626953125,366025.21875,366.02521875,12649.810242187523,0.035834203964570537,True
2026-04-02,FORCEMOT.NS,2,67,21251.23,21126.0,1415442.0,1415.442,-9805.851999999955,-0.006886942544031538,False
2026-05-04,CANBK.NS,14,10870,136.36561754637214,130.49525451660156,1418483.416595459,1418.483416595459,-65229.32955020154,-0.04400565474098729,True
2026-05-04,LTF.NS,8,4254,311.2955741177101,282.7389831542969,1202771.634338379,1202.771634338379,-122682.50959269819,-0.09264291671446157,False
2026-05-04,ABCAPITAL.NS,7,3958,351.3423624744408,345.8500061035156,1368874.3241577148,1368.874324157715,-23107.620840279385,-0.016616858655788658,False
2026-05-04,RBLBANK.NS,9,2226,319.78663072255574,329.3473205566406,733127.135559082,733.127135559082,20548.9684351139,0.028867193392888568,True
2026-05-04,AUBANK.NS,13,1155,918.8284306030273,1014.0152587890624,1171187.623901367,1171.187623901367,108769.59893096914,0.10249227145207117,True
2026-05-04,MCX.NS,15,492,2439.465593017578,2905.780029296875,1429643.7744140625,1429.6437744140626,227997.0588750001,0.18996318602582604,False
2026-05-04,SBILIFE.NS,4,282,1869.620350704545,1820.0999755859373,513268.1931152343,513.2681931152343,-14478.013976562594,-0.027460374548686595,True
2026-05-04,TVSMOTOR.NS,0,246,3604.287977885425,3495.5,859893.0,859.893,-27621.73555981461,-0.0311527487743363,True
2026-06-02,ABCAPITAL.NS,7,1084,351.3423624744408,351.29998779296875,380809.1867675781,380.8091867675781,-426.74334148323396,-0.0011204873403036185,True
2026-06-02,LTF.NS,8,663,311.2955741177101,270.70001220703125,179474.10809326172,179.47410809326172,-27094.331654873356,-0.1312780049594703,True
2026-06-02,GVT&D.NS,18,377,4479.997983398437,4769.1953125,1797986.6328125,1797.9866328125001,107229.40643847664,0.06348845129910108,True
2026-06-02,NETWEB.NS,17,334,3929.178427001953,4779.8203125,1596459.984375,1596.459984375,282517.9297719728,0.21527708168523113,True
2026-06-02,CUMMINSIND.NS,16,109,5250.738168457031,5661.0458984375,617054.0029296875,617.0540029296875,44106.48856494145,0.07706472330174105,False
2026-06-02,FORCEMOT.NS,2,97,19644.28445360825,17833.0,1729801.0,1729.801,-177424.39300000016,-0.09311194092754435,True
