ticker,position_id,shares,avg_cost,last_price,market_value,unrealised_pnl
LAURUSLABS.NS,5,994,1218.1513282656913,1500.300048828125,1491298.2485351562,280455.82823905913
MCX.NS,15,410,2669.734161106016,2907.376220703125,1192024.2504882812,97433.24443481468
CUMMINSIND.NS,16,69,5250.738168457031,5495.91552734375,379218.17138671875,16917.237763183613
ANANDRATHI.NS,19,999,1796.5592491842428,1988.699951171875,1986711.2512207031,191948.56128564454
NATIONALUM.NS,20,3627,411.9779698178965,346.519287109375,1256825.4543457031,-237418.6421838075
TORNTPHARM.NS,21,227,4322.217802246094,4657.60009765625,1057275.2221679688,76131.78105810544
LUPIN.NS,22,263,2235.8383410644533,2391.95654296875,629084.5708007812,41059.08710083004
GLENMARK.NS,23,360,2184.610895263672,2184.426513671875,786393.544921875,-66.37737304687107
KARURVYSYA.NS,24,675,291.0791795043945,296.54364013671875,200166.95709228516,3688.510926818857
ATHERENERG.NS,25,2042,961.5605755615236,1083.75,2213017.5,249510.80470336883
